id,name,bn_name,gender
1207,Dr. Md.Tarikul Islam,Dr. Md.Tarikul Islam,MALE
1208,Dr. Alamgir Hossain,Dr. Alamgir Hossain,MALE
1209,Dr. Chaity Biswas,Dr. Chaity Biswas,FEMALE
1210,Dr. Md.Abdullah Al Mahmud,Dr. Md.Abdullah Al Mahmud,FEMALE
1211,Dr. Mehdi Faruk,Dr. Mehdi Faruk,MALE
1212,Dr. Md. Tariqul Islam Limon,Dr. Md. Tariqul Islam Limon,MALE
1213,Dr. Shahjahan Chowdhury,Dr. Shahjahan Chowdhury,MALE
1214,Dr. Md Shah Newaz,Dr. Md Shah Newaz,MALE
1215,Dr. Muhaimen Salit,Dr. Muhaimen Salit,MALE
1216,Dr. MD. NURUL HUDY AJHARY,Dr. MD. NURUL HUDY AJHARY,MALE
1217,Dr. Md. Waliur Rahman,Dr. Md. Waliur Rahman,MALE
1218,Dr. Md. Arif Hossain,Dr. Md. Arif Hossain,MALE
1219,Dr. Liton Sarker,Dr. Liton Sarker,MALE
1220,Dr. Shyama Chakraborty,Dr. Shyama Chakraborty,FEMALE
1221,Dr. Mohammad Mahabub Hassan,Dr. Mohammad Mahabub Hassan,MALE
1222,Dr. Fouzia Noor,Dr. Fouzia Noor,FEMALE
1223,Dr. Mir Mushfiqur Rahman,Dr. Mir Mushfiqur Rahman,MALE
1224,Assoc. Prof. Dr. Md Faruk Hossain,Assoc. Prof. Dr. Md Faruk Hossain,MALE
1225,Dr. Taslim Ul Islam,Dr. Taslim Ul Islam,MALE
1226,Dr. Soheli Akter,Dr. Soheli Akter,FEMALE
1227,Dr. Raouful Islam,Dr. Raouful Islam,MALE
1228,Dr. Adnan Al Berunie,Dr. Adnan Al Berunie,MALE
1229,Dr. Ahmed Ali,Dr. Ahmed Ali,MALE
1230,Dr. Sumon Paul,Dr. Sumon Paul,MALE
1231,Dr. Habibur Rahman Bhuiyan,Dr. Habibur Rahman Bhuiyan,MALE
1232,Dr. Susmoy Bhoumik Pranto,Dr. Susmoy Bhoumik Pranto,MALE
1233,Dr. MD. Abul Hasem Mojumder,Dr. MD. Abul Hasem Mojumder,MALE
1234,Dr. Simim Afrose,Dr. Simim Afrose,FEMALE
1235,Md. Mehedi Hasan,Md. Mehedi Hasan,MALE
1236,Dr. K M Shahadat Ali,Dr. K M Shahadat Ali,MALE
1237,Dr. NAZNEEN NAHAR,Dr. NAZNEEN NAHAR,FEMALE
1238,Dr. Kamrul Islam,Dr. Kamrul Islam,MALE
1239,Dr. Md. Jahidul Haque,Dr. Md. Jahidul Haque,MALE
1240,Dr. Mahmudul Hasan Mozomder,Dr. Mahmudul Hasan Mozomder,MALE
